task_id,pipeline_id,task_name,task_type,task_order,created_at
1,1,extract_data,extract,1,2026-03-24 21:03:18
2,1,transform_data,transform,2,2026-03-24 21:03:18
3,1,load_data,load,3,2026-03-24 21:03:18
4,2,extract_data,extract,1,2026-03-24 21:03:18
5,2,transform_data,transform,2,2026-03-24 21:03:18
6,2,load_data,load,3,2026-03-24 21:03:18
7,3,extract_data,extract,1,2026-03-24 21:03:18
8,3,transform_data,transform,2,2026-03-24 21:03:18
9,3,load_data,load,3,2026-03-24 21:03:18
10,4,extract_data,extract,1,2026-03-24 21:03:18
11,4,transform_data,transform,2,2026-03-24 21:03:18
12,4,load_data,load,3,2026-03-24 21:03:18
13,5,extract_data,extract,1,2026-03-24 21:03:18
14,5,transform_data,transform,2,2026-03-24 21:03:18
15,5,load_data,load,3,2026-03-24 21:03:18
16,6,extract_data,extract,1,2026-03-24 21:03:18
17,6,transform_data,transform,2,2026-03-24 21:03:18
18,6,load_data,load,3,2026-03-24 21:03:18
