event_id,pipeline_id,task_id,event_type,status,event_timestamp,duration_sec,records_in,records_out,error_message,created_at
1,1,,pipeline_started,running,2026-04-12 12:18:00,,,,,2026-04-12 12:18:00
2,1,1,task_started,running,2026-04-12 12:20:00,,,,,2026-04-12 12:20:00
3,1,1,task_succeeded,success,2026-04-12 12:29:00,540,18040,15578,,2026-04-12 12:29:00
4,1,2,task_started,running,2026-04-12 12:30:00,,,,,2026-04-12 12:30:00
5,1,2,task_succeeded,success,2026-04-12 12:47:00,1020,5604,4520,,2026-04-12 12:47:00
6,1,3,task_started,running,2026-04-12 12:50:00,,,,,2026-04-12 12:50:00
7,1,3,task_succeeded,success,2026-04-12 12:55:00,300,15295,14226,,2026-04-12 12:55:00
8,1,,pipeline_completed,success,2026-04-12 12:56:00,2280,,,,2026-04-12 12:56:00
9,1,,pipeline_started,running,2026-04-11 00:04:00,,,,,2026-04-11 00:04:00
10,1,1,task_started,running,2026-04-11 00:05:00,,,,,2026-04-11 00:05:00
11,1,1,task_succeeded,success,2026-04-11 00:12:00,420,41470,36176,,2026-04-11 00:12:00
12,1,2,task_started,running,2026-04-11 00:13:00,,,,,2026-04-11 00:13:00
13,1,2,task_succeeded,success,2026-04-11 00:30:00,1020,28645,28607,,2026-04-11 00:30:00
14,1,3,task_started,running,2026-04-11 00:31:00,,,,,2026-04-11 00:31:00
15,1,3,task_succeeded,success,2026-04-11 00:38:00,420,19719,19579,,2026-04-11 00:38:00
16,1,,pipeline_completed,success,2026-04-11 00:39:00,2100,,,,2026-04-11 00:39:00
17,1,,pipeline_started,running,2026-04-10 00:20:00,,,,,2026-04-10 00:20:00
18,1,1,task_started,running,2026-04-10 00:22:00,,,,,2026-04-10 00:22:00
19,1,1,task_succeeded,success,2026-04-10 00:31:00,540,19797,16517,,2026-04-10 00:31:00
20,1,2,task_started,running,2026-04-10 00:32:00,,,,,2026-04-10 00:32:00
21,1,2,task_succeeded,success,2026-04-10 00:42:00,600,32411,31399,,2026-04-10 00:42:00
22,1,3,task_started,running,2026-04-10 00:43:00,,,,,2026-04-10 00:43:00
23,1,3,task_succeeded,success,2026-04-10 00:48:00,300,13673,13078,,2026-04-10 00:48:00
24,1,,pipeline_completed,success,2026-04-10 00:49:00,1740,,,,2026-04-10 00:49:00
25,1,,pipeline_started,running,2026-04-09 05:03:00,,,,,2026-04-09 05:03:00
26,1,1,task_started,running,2026-04-09 05:04:00,,,,,2026-04-09 05:04:00
27,1,1,task_succeeded,success,2026-04-09 05:14:00,600,21188,17275,,2026-04-09 05:14:00
28,1,2,task_started,running,2026-04-09 05:16:00,,,,,2026-04-09 05:16:00
29,1,2,task_failed,failed,2026-04-09 05:32:00,960,46482,,out of memory,2026-04-09 05:32:00
30,1,2,task_retry,retrying,2026-04-09 05:34:00,,,,,2026-04-09 05:34:00
31,1,3,task_started,running,2026-04-09 05:51:00,,,,,2026-04-09 05:51:00
32,1,3,task_succeeded,success,2026-04-09 05:54:00,180,28206,22607,,2026-04-09 05:54:00
33,1,,pipeline_completed,completed_with_issues,2026-04-09 05:55:00,3120,,,,2026-04-09 05:55:00
34,1,,pipeline_started,running,2026-04-09 10:58:00,,,,,2026-04-09 10:58:00
35,1,1,task_started,running,2026-04-09 10:59:00,,,,,2026-04-09 10:59:00
36,1,1,task_succeeded,success,2026-04-09 11:05:00,360,22791,19441,,2026-04-09 11:05:00
37,1,2,task_started,running,2026-04-09 11:08:00,,,,,2026-04-09 11:08:00
38,1,2,task_succeeded,success,2026-04-09 11:27:00,1140,20172,17616,,2026-04-09 11:27:00
39,1,3,task_started,running,2026-04-09 11:30:00,,,,,2026-04-09 11:30:00
40,1,3,task_succeeded,success,2026-04-09 11:37:00,420,41753,34233,,2026-04-09 11:37:00
41,1,,pipeline_completed,success,2026-04-09 11:38:00,2400,,,,2026-04-09 11:38:00
42,1,,pipeline_started,running,2026-04-08 11:49:00,,,,,2026-04-08 11:49:00
43,1,1,task_started,running,2026-04-08 11:52:00,,,,,2026-04-08 11:52:00
44,1,1,task_succeeded,success,2026-04-08 12:00:00,480,40559,35099,,2026-04-08 12:00:00
45,1,2,task_started,running,2026-04-08 12:02:00,,,,,2026-04-08 12:02:00
46,1,2,task_succeeded,success,2026-04-08 12:16:00,840,7656,6739,,2026-04-08 12:16:00
47,1,3,task_started,running,2026-04-08 12:18:00,,,,,2026-04-08 12:18:00
48,1,3,task_succeeded,success,2026-04-08 12:24:00,360,25441,24276,,2026-04-08 12:24:00
49,1,,pipeline_completed,success,2026-04-08 12:25:00,2160,,,,2026-04-08 12:25:00
50,1,,pipeline_started,running,2026-04-07 15:01:00,,,,,2026-04-07 15:01:00
51,1,1,task_started,running,2026-04-07 15:02:00,,,,,2026-04-07 15:02:00
52,1,1,task_succeeded,success,2026-04-07 15:11:00,540,24333,23490,,2026-04-07 15:11:00
53,1,2,task_started,running,2026-04-07 15:13:00,,,,,2026-04-07 15:13:00
54,1,2,task_succeeded,success,2026-04-07 15:33:00,1200,15661,14128,,2026-04-07 15:33:00
55,1,3,task_started,running,2026-04-07 15:36:00,,,,,2026-04-07 15:36:00
56,1,3,task_succeeded,success,2026-04-07 15:39:00,180,19450,17495,,2026-04-07 15:39:00
57,1,,pipeline_completed,success,2026-04-07 15:40:00,2340,,,,2026-04-07 15:40:00
58,1,,pipeline_started,running,2026-04-07 15:52:00,,,,,2026-04-07 15:52:00
59,1,1,task_started,running,2026-04-07 15:55:00,,,,,2026-04-07 15:55:00
60,1,1,task_failed,failed,2026-04-07 16:04:00,540,49722,,null values encountered,2026-04-07 16:04:00
61,1,1,task_retry,retrying,2026-04-07 16:06:00,,,,,2026-04-07 16:06:00
62,1,2,task_started,running,2026-04-07 16:16:00,,,,,2026-04-07 16:16:00
63,1,2,task_failed,failed,2026-04-07 16:26:00,600,13274,,schema mismatch,2026-04-07 16:26:00
64,1,2,task_retry,retrying,2026-04-07 16:28:00,,,,,2026-04-07 16:28:00
65,1,3,task_started,running,2026-04-07 16:40:00,,,,,2026-04-07 16:40:00
66,1,3,task_failed,failed,2026-04-07 16:46:00,360,24936,,connection timeout,2026-04-07 16:46:00
67,1,3,task_retry,retrying,2026-04-07 16:48:00,,,,,2026-04-07 16:48:00
68,1,,pipeline_completed,completed_with_issues,2026-04-07 16:55:00,3780,,,,2026-04-07 16:55:00
69,1,,pipeline_started,running,2026-04-06 09:21:00,,,,,2026-04-06 09:21:00
70,1,1,task_started,running,2026-04-06 09:24:00,,,,,2026-04-06 09:24:00
71,1,1,task_succeeded,success,2026-04-06 09:29:00,300,30344,26173,,2026-04-06 09:29:00
72,1,2,task_started,running,2026-04-06 09:30:00,,,,,2026-04-06 09:30:00
73,1,2,task_succeeded,success,2026-04-06 09:46:00,960,20005,18102,,2026-04-06 09:46:00
74,1,3,task_started,running,2026-04-06 09:49:00,,,,,2026-04-06 09:49:00
75,1,3,task_succeeded,success,2026-04-06 09:53:00,240,6881,6647,,2026-04-06 09:53:00
76,1,,pipeline_completed,success,2026-04-06 09:54:00,1980,,,,2026-04-06 09:54:00
77,1,,pipeline_started,running,2026-04-06 02:02:00,,,,,2026-04-06 02:02:00
78,1,1,task_started,running,2026-04-06 02:04:00,,,,,2026-04-06 02:04:00
79,1,1,task_succeeded,success,2026-04-06 02:11:00,420,8107,6997,,2026-04-06 02:11:00
80,1,2,task_started,running,2026-04-06 02:12:00,,,,,2026-04-06 02:12:00
81,1,2,task_succeeded,success,2026-04-06 02:25:00,780,45049,41789,,2026-04-06 02:25:00
82,1,3,task_started,running,2026-04-06 02:27:00,,,,,2026-04-06 02:27:00
83,1,3,task_failed,failed,2026-04-06 02:32:00,300,4548,,null values encountered,2026-04-06 02:32:00
84,1,3,task_retry,retrying,2026-04-06 02:34:00,,,,,2026-04-06 02:34:00
85,1,,pipeline_completed,completed_with_issues,2026-04-06 02:40:00,2280,,,,2026-04-06 02:40:00
86,1,,pipeline_started,running,2026-04-05 22:03:00,,,,,2026-04-05 22:03:00
87,1,1,task_started,running,2026-04-05 22:06:00,,,,,2026-04-05 22:06:00
88,1,1,task_failed,failed,2026-04-05 22:12:00,360,1976,,schema mismatch,2026-04-05 22:12:00
89,1,1,task_retry,retrying,2026-04-05 22:14:00,,,,,2026-04-05 22:14:00
90,1,2,task_started,running,2026-04-05 22:22:00,,,,,2026-04-05 22:22:00
91,1,2,task_failed,failed,2026-04-05 22:34:00,720,28599,,source data unavailable,2026-04-05 22:34:00
92,1,2,task_retry,retrying,2026-04-05 22:36:00,,,,,2026-04-05 22:36:00
93,1,3,task_started,running,2026-04-05 22:50:00,,,,,2026-04-05 22:50:00
94,1,3,task_succeeded,success,2026-04-05 22:54:00,240,39115,37522,,2026-04-05 22:54:00
95,1,,pipeline_completed,completed_with_issues,2026-04-05 22:55:00,3120,,,,2026-04-05 22:55:00
96,1,,pipeline_started,running,2026-04-04 11:47:00,,,,,2026-04-04 11:47:00
97,1,1,task_started,running,2026-04-04 11:49:00,,,,,2026-04-04 11:49:00
98,1,1,task_succeeded,success,2026-04-04 11:56:00,420,1019,852,,2026-04-04 11:56:00
99,1,2,task_started,running,2026-04-04 11:58:00,,,,,2026-04-04 11:58:00
100,1,2,task_succeeded,success,2026-04-04 12:12:00,840,43645,36929,,2026-04-04 12:12:00
101,1,3,task_started,running,2026-04-04 12:15:00,,,,,2026-04-04 12:15:00
102,1,3,task_succeeded,success,2026-04-04 12:22:00,420,31314,25206,,2026-04-04 12:22:00
103,1,,pipeline_completed,success,2026-04-04 12:23:00,2160,,,,2026-04-04 12:23:00
104,1,,pipeline_started,running,2026-04-03 11:06:00,,,,,2026-04-03 11:06:00
105,1,1,task_started,running,2026-04-03 11:07:00,,,,,2026-04-03 11:07:00
